Defense,Technique,Page
DEFENSES FROM BEHIND,Rear choke defense,98
DEFENSES FROM BEHIND,Rear choke defense pulled back  (with side throw),100
DEFENSES FROM BEHIND,Rear choke defense pulled back  (with overhead throw),102
DEFENSES FROM BEHIND,Rear two-hand choke defense,104
DEFENSES FROM BEHIND,Rear bear hug over the arms  defense,106
DEFENSES FROM BEHIND,Rear bear hug over the arms  defense (with wide stance),108
DEFENSES FROM BEHIND,Rear bear hug under arms  detense,110
DEFENSES FROM BEHIND,Rear bear hug under arms  defense (with lift),112
DEFENSES FROM BEHIND,Full nelson defense  The History of Gracie Jiu-Jitsu Introduction,114
CONIEN*?,Hip throw  > — Two-hand front choke defense,20
CONIEN*?,Iwo-hand front choke defense  (with hip throw),24
CONIEN*?,Two-hand front choke defense  (with armlock),96
CONIEN*?,Two-hand front choke defense  (against a wall),98
CONIEN*?,Single-hand front choke defense  (against a wall),30
CONIEN*?,Wall-pin defense,31
CONIEN*?,"Single-hand collar grab defense ,",32
CONIEN*?,Single-hand collar grab defense (wrist fold),33
CONIEN*?,Single-hand collar grab defense  (palm turned up),34
CONIEN*?,Single-hand collar erab defense  (straight arm),36
CONIEN*?,Single-hand collar erab defense  (thumb down),38
CONIEN*?,Single-hand chest-push defense,40
CONIEN*?,Double-collar grab defense (hands apart),42
CONIEN*?,Double-collar grab defense (hands  together),44
CONIEN*?,Shoulder grab defense (arm bent),46
CONIEN*?,Shoulder grab defense (straight arm),48
CONIEN*?,Headlock defense (with punch),50
CONIEN*?,Headlock defense (attacker upright),52
CONIEN*?,Headlock defense (attacker bent over),54
CONIEN*?,Headlock defense (attacker with wide stance)  ry oot Ba Re Po A oO (oe oe 11,56
CONIEN*?,Headlock defense (pressure on the nose,58
CONIEN*?,Headlock defense against a wal] -  (attacker outside),60
CONIEN*?,Headlock defense against a wall  (attacker inside),62
CONIEN*?,Guillotine defense (sitting back),64
CONIEN*?,Guillotine defense (sliding down),66
CONIEN*?,Guillotine defense (with trip takedown),68
CONIEN*?,Guillotine choke,70
CONIEN*?,Guillotine choke (if taken down),72
CONIEN*?,Tackle defense (with elbow strike),74
CONIEN*?,Tackle defense (with knee strike),75
CONIEN*?,Front bear hug over the arms defense,76
CONIEN*?,Front bear hug under arms defense  (with frame),78
CONIEN*?,Front bear hug under arms defense  (with chin push),79
CONIEN*?,Sucker punch defense,80
CONIEN*?,Haymaker punch defense,82
CONIEN*?,Front kick defense,84
CONIEN*?,Front kick defense (with pivot),86
CONIEN*?,Front kick defense (high),87
CONIEN*?,Roundhouse kick defense,88
CONIEN*?,Standing up in base,90
CONIEN*?,Hand chop,92
CONIEN*?,Punch,93
CONIEN*?,Elbow strike,94
CONIEN*?,Side kick (surprise attack),95
CONIEN*?,Side kick  Gay (Sey { ry,95
—S,Club defense (overhead  close range),118
—S,Club defense (overhead  close range with slide),120
—S,Club defense (overhead  \ = = ie distant range),122
SS,Club defense (two-hand  overhead),124
SS,Club defense (horizontal swing),126
SS,Chair defense,128
SS,Knife defense (overhead),130
SS,Knife defense (underhand),132
SS,Knife defense (underhand  straight arm block),134
SS,Knife defense (underhand  straight arm block with resistance),136
SS,Knife defense (backhand),138
SS,Knife defense (side),140
SS,Rear knife defense (chest  thrust),142
SS,Rear knife defense (throat slice),144
SS,Gun defense (pointed at  stomach),146
SS,Gun defense (front waistband),148
SS,Gun defense (side waistband),150
SS,Gun defense (pointed at head),152
SS,Rear gun defense (hostage  position),154
SS,Rear gun defense (pointed at  back) 160 162 164 166 168 — Upward lift escape (“upa”),156
CHAPTER 4 - THE MOUNT,Straight : cf  Elbow escape raight arm choke (thrusting choke),182
CHAPTER 4 - THE MOUNT,Cross choke (thumb inside),183
CHAPTER 4 - THE MOUNT,Nutcracker choke,184
CHAPTER 4 - THE MOUNT,Neck crank,185
CHAPTER 4 - THE MOUNT,Keeping the mount (opponent  pushing the chest),186
CHAPTER 4 - THE MOUNT,"Keeping the mount (opponent  — Elbow escape drill Backdoor escape — Americana armlock Straight armlock Straight armlock (when pushed to the side) — Headlock escape (with armlock finish) pushing the stomach) — Armlock (Opponent sideways) 188 — Keeping the mount (opponent — Collar choke (opponent sideways) pushing the knee) — Front choke 189 — Keeping the mount (opponent sitting up) 192 194 196 198 200 - 202 204 . 206 - — Passing the guard (kneeling) 208 — Shoulder lock with the legs (“omoplata ) — Passing the guard (standing) 210 — Kimura — Ankle sweep 212 — Spinning armlock - Overhead sweep 214 — Triangle choke Scissor sweep 216 — Straight ankle lock Hook sweep 218 — Heel hook Hip-thrusting sweep 219 — Toe hold foorlock Armlock (stepping over the head) he } a 220 Upward lift escape (“upa 242 — Side headlock escape (using arm frame) Elbow escape 244 — Side headlock escape (using arm frame Leg choke trom the bottom with resistance) K ‘mura 246 — Side headlock escape (attacker with Straight armiock (with step Over) head down) Straight elbow lock 248 — Side headlock escape (attacker with Straight armlock knee Of} rhe stomach) head down wide base) Kimura (north-south positon) 250 — Side headlock escape (attacker balls up) Straight armlock 252 — Side headlock escape (attacker balls up change tO wide base) Guillotine choke 254 — Side headlock escape (with arm trapped) rLsbial VAN 253 260 26) 62 263 Back mount ¢ SCAP eC - mure TOU! tootlock Neck CTranan —— 2. a F L = (,etung Cne LLOONS EN a I ee",187
